,Primary Tumor,Metastasis,Normal Tissue,Metastasis - Primary,Tumor - Normal
VSIG8,3.0000000035580983,3.000000001764452,3.0000000007767813,-1.793646120518133e-09,1.8844938942663703e-09
GP1BB,3.000000003462427,3.0000000096841277,3.000000001972893,6.2217009322296235e-09,4.600384073683017e-09
TGM3,3.000000003365202,3.0000000077683247,3.000000000369817,4.403122755292088e-09,5.1969459846645805e-09
KPRP,3.0000000031278287,3.0000000022012427,3.0000000026399287,-9.265859191032177e-10,2.460698311779197e-11
IVL,3.0000000030907885,2.999999999085417,3.0000000137394927,-4.0053715899546205e-09,-1.2651389713624894e-08
PLA2G2F,3.000000002796445,3.000000001310104,3.0000000028839167,-1.4863408281939883e-09,-8.306422216719511e-10
PGLYRP4,3.0000000027908715,3.0000000041266337,2.9999999986082457,1.335762167542498e-09,4.8505066629900284e-09
SOX10,3.0000000026354448,3.0000000001269513,2.9999999973347076,-2.50849341298931e-09,4.0464906980730575e-09
CYP4F8,3.0000000026156295,3.000000001226895,3.000000000557114,-1.388734460761043e-09,1.364148349836114e-09
TYRP1,3.000000002570822,3.000000003743325,3.000000001647204,1.172502983592949e-09,1.5098695627102643e-09
SCGB1D2,3.0000000025227447,3.0000000019628894,2.9999999971249234,-5.598552732521966e-10,5.117893664419171e-09
DSG3,3.0000000021004296,3.0000000016904402,2.999999997766354,-4.099893757825157e-10,4.129081077053343e-09
DCD,3.0000000020928814,3.0000000070552977,3.0000000047278843,4.9624162556938245e-09,-1.5379475470922443e-10
SPRR2B,3.0000000019316064,3.000000002289965,3.0000000012037935,3.5835867606692773e-10,9.069922590754231e-10
LMO1,3.000000001385683,3.0000000034573535,2.9999999985174965,2.071670390790814e-09,3.904021550482639e-09
